"--Ad Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"31 Dec, 2021",325357,0,0.00,0,0,0,0
"30 Dec, 2021",332248,0,0.00,0,0,0,0
"29 Dec, 2021",318773,0,0.00,0,0,0,0
"28 Dec, 2021",275644,0,0.00,0,0,0,0
"27 Dec, 2021",240685,0,0.00,0,0,0,0
"26 Dec, 2021",230573,0,0.00,0,0,0,0
"25 Dec, 2021",180115,0,0.00,0,0,0,0
"24 Dec, 2021",196551,0,0.00,0,0,0,0
"23 Dec, 2021",147584,0,0.00,0,0,0,0
"22 Dec, 2021",167230,0,0.00,0,0,0,0
"21 Dec, 2021",195417,0,0.00,0,0,0,0
"20 Dec, 2021",263059,0,0.00,0,0,0,0
"19 Dec, 2021",408370,0,0.00,0,0,0,0
"18 Dec, 2021",354804,0,0.00,0,0,0,0
"17 Dec, 2021",431935,0,0.00,0,0,0,0
"16 Dec, 2021",570550,0,0.00,0,0,0,0
"15 Dec, 2021",523601,0,0.00,0,0,0,0
"14 Dec, 2021",307725,0,0.00,0,0,0,0
"13 Dec, 2021",362460,0,0.00,0,0,0,0
"12 Dec, 2021",428747,0,0.00,0,0,0,0
"11 Dec, 2021",522612,0,0.00,0,0,0,0
"10 Dec, 2021",548759,0,0.00,0,0,0,0
"9 Dec, 2021",538861,0,0.00,0,0,0,0
"8 Dec, 2021",399804,0,0.00,0,0,0,0
"7 Dec, 2021",236553,0,0.00,0,0,0,0
"6 Dec, 2021",322892,0,0.00,0,0,0,0
"5 Dec, 2021",326535,0,0.00,0,0,0,0
"4 Dec, 2021",393452,0,0.00,0,0,0,0
"3 Dec, 2021",483568,0,0.00,0,0,0,0
"2 Dec, 2021",724438,0,0.00,0,0,0,0
"1 Dec, 2021",808870,0,0.00,0,0,0,0
"30 Nov, 2021",819894,0,0.00,0,0,0,0
"29 Nov, 2021",616586,0,0.00,0,0,0,0
"28 Nov, 2021",306894,0,0.00,0,0,0,0
"27 Nov, 2021",245185,0,0.00,0,0,0,0
"26 Nov, 2021",326721,0,0.00,0,0,0,0
"25 Nov, 2021",362566,0,0.00,0,0,0,0
"24 Nov, 2021",464480,0,0.00,0,0,0,0
"23 Nov, 2021",380032,0,0.00,0,0,0,0
"22 Nov, 2021",394973,0,0.00,0,0,0,0
"21 Nov, 2021",402012,0,0.00,0,0,0,0
"20 Nov, 2021",328566,0,0.00,0,0,0,0
"19 Nov, 2021",355673,0,0.00,0,0,0,0
"18 Nov, 2021",491506,0,0.00,0,0,0,0
"17 Nov, 2021",823855,0,0.00,0,0,0,0
"
","
"
"--Ad Types--","--Ad Units--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Unmatchedadrequests,CM_serialgossip.com_Arts_and_Entertainment_BTF_responsive_INT,298160,0,0.00,0.00,0.00,0.00,0.00
Unmatchedadrequests,CM_serialgossip.com_Arts_and_Entertainment_BTF_responsive_EOC,75191,0,0.00,0.00,0.00,0.00,0.00
Unmatchedadrequests,CM_serialgossip.com_Arts_and_Entertainment_BTF_multisize_MBRS,15219610,0,0.00,0.00,0.00,0.00,0.00
Unmatchedadrequests,CM_serialgossip.com_Arts_and_Entertainment_BTF_multisize_DBRS,355426,0,0.00,0.00,0.00,0.00,0.00
Unmatchedadrequests,CM_serialgossip.com_Arts_and_Entertainment_BTF_Fixed_DBRS,190282,0,0.00,0.00,0.00,0.00,0.00
Unmatchedadrequests,CM_serialgossip.com_Arts_and_Entertainment_BTF_Fixed_300x250,11015069,0,0.00,0.00,0.00,0.00,0.00
Unmatchedadrequests,CM_Serialgossip.com_Arts_and_entertainment_300x600,45875,0,0.00,0.00,0.00,0.00,0.00
"
","
"
"
","
"
"--Ad Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Richmedia,85133121,61194290,71.88,100.00,0.20,0.11,6893.38
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"16 Feb, 2022",863567,663701,76.86,100.00,0.16,0.08,55.78
"15 Feb, 2022",735111,563749,76.69,100.00,0.16,0.09,50.31
"14 Feb, 2022",764175,585404,76.61,100.00,0.20,0.09,52.57
"13 Feb, 2022",772303,584761,75.72,100.00,0.20,0.08,48.49
"12 Feb, 2022",821544,608336,74.05,100.00,0.21,0.08,50.45
"11 Feb, 2022",630379,376406,59.71,100.00,0.20,0.08,30.43
"10 Feb, 2022",540829,330369,61.09,100.00,0.20,0.09,29.3
"9 Feb, 2022",530533,316506,59.66,100.00,0.19,0.10,31.03
"8 Feb, 2022",561537,326740,58.19,100.00,0.20,0.09,30.3
"7 Feb, 2022",1026170,772732,75.30,100.00,0.18,0.09,68.34
"6 Feb, 2022",698502,522304,74.77,100.00,0.19,0.08,42.89
"5 Feb, 2022",730964,541386,74.06,100.00,0.19,0.09,48.66
"4 Feb, 2022",965369,725837,75.19,100.00,0.18,0.09,67.43
"3 Feb, 2022",1025621,770263,75.10,100.00,0.18,0.10,73.76
"2 Feb, 2022",716852,547239,76.34,100.00,0.20,0.10,56.55
"1 Feb, 2022",403097,222967,55.31,100.00,0.24,0.10,23.21
"31 Jan, 2022",552858,341820,61.83,100.00,0.20,0.10,33.16
"30 Jan, 2022",904274,663695,73.40,100.00,0.23,0.11,74.53
"29 Jan, 2022",808861,603029,74.55,100.00,0.22,0.12,73.4
"28 Jan, 2022",612910,468145,76.38,100.00,0.21,0.13,62.73
"27 Jan, 2022",707904,547124,77.29,100.00,0.17,0.13,69.73
"26 Jan, 2022",705940,521598,73.89,100.00,0.19,0.13,67.79
"25 Jan, 2022",989808,728823,73.63,100.00,0.19,0.12,84.72
"24 Jan, 2022",1097117,809224,73.76,100.00,0.19,0.10,84.73
"23 Jan, 2022",951488,702069,73.79,100.00,0.20,0.11,75.5
"22 Jan, 2022",888534,644327,72.52,100.00,0.21,0.11,68.05
"21 Jan, 2022",803539,576442,71.74,100.00,0.20,0.12,68.97
"20 Jan, 2022",900360,655828,72.84,100.00,0.19,0.11,71.01
"19 Jan, 2022",889683,651403,73.22,100.00,0.19,0.10,65.22
"18 Jan, 2022",881247,644584,73.14,100.00,0.20,0.10,61.85
"17 Jan, 2022",818401,587239,71.75,100.00,0.20,0.11,61.77
"16 Jan, 2022",550540,356046,64.67,100.00,0.19,0.08,28.38
"15 Jan, 2022",507241,315225,62.15,100.00,0.19,0.09,28.19
"14 Jan, 2022",679842,435675,64.08,100.00,0.16,0.08,36.88
"13 Jan, 2022",814135,611853,75.15,100.00,0.18,0.10,63.35
"12 Jan, 2022",892058,666808,74.75,100.00,0.19,0.10,67.68
"11 Jan, 2022",1022161,748656,73.24,100.00,0.21,0.10,72.86
"10 Jan, 2022",1105342,818040,74.01,100.00,0.23,0.09,71.55
"9 Jan, 2022",882326,648001,73.44,100.00,0.22,0.09,58.37
"8 Jan, 2022",1084059,806932,74.44,100.00,0.21,0.09,70.96
"7 Jan, 2022",1022575,760535,74.37,100.00,0.21,0.08,64.54
"6 Jan, 2022",909806,675105,74.20,100.00,0.20,0.10,65.94
"5 Jan, 2022",1109323,822040,74.10,100.00,0.21,0.09,73.82
"4 Jan, 2022",1173112,875854,74.66,100.00,0.19,0.09,77.46
"3 Jan, 2022",918625,681857,74.23,100.00,0.20,0.09,61.67
"2 Jan, 2022",864269,639930,74.04,100.00,0.21,0.09,57.57
"1 Jan, 2022",804830,590858,73.41,100.00,0.21,0.09,55.83
"31 Dec, 2021",948593,714489,75.32,100.00,0.19,0.11,78.45
"30 Dec, 2021",1030090,778768,75.60,100.00,0.18,0.12,91.51
"29 Dec, 2021",1090748,834582,76.51,100.00,0.19,0.12,100.21
"28 Dec, 2021",1032631,792001,76.70,100.00,0.19,0.11,84.45
"27 Dec, 2021",963421,741028,76.92,100.00,0.20,0.11,78.47
"26 Dec, 2021",1141090,870018,76.24,100.00,0.21,0.10,87.38
"25 Dec, 2021",910005,678118,74.52,100.00,0.21,0.11,72.9
"24 Dec, 2021",1059797,791698,74.70,100.00,0.19,0.10,76.59
"23 Dec, 2021",959443,709794,73.98,100.00,0.21,0.10,71.24
"22 Dec, 2021",996182,752005,75.49,100.00,0.20,0.10,76.32
"21 Dec, 2021",1211252,900643,74.36,100.00,0.21,0.10,88.74
"20 Dec, 2021",1253646,938868,74.89,100.00,0.20,0.10,91.5
"19 Dec, 2021",586919,367005,62.53,100.00,0.21,0.12,42.82
"18 Dec, 2021",623957,372423,59.69,100.00,0.24,0.11,41.64
"17 Dec, 2021",695454,419275,60.29,100.00,0.24,0.12,48.93
"16 Dec, 2021",771050,465383,60.36,100.00,0.22,0.11,50.38
"15 Dec, 2021",751841,439068,58.40,100.00,0.23,0.13,55.34
"14 Dec, 2021",1085472,808324,74.47,100.00,0.21,0.12,99.69
"13 Dec, 2021",932089,679318,72.88,100.00,0.18,0.14,92.47
"12 Dec, 2021",530013,282433,53.29,100.00,0.25,0.14,38.27
"11 Dec, 2021",611918,328436,53.67,100.00,0.26,0.13,41.26
"10 Dec, 2021",785902,502621,63.95,100.00,0.16,0.11,56.07
"9 Dec, 2021",605391,347194,57.35,100.00,0.21,0.13,45.75
"8 Dec, 2021",1047826,770735,73.56,100.00,0.20,0.13,98.31
"7 Dec, 2021",938289,675844,72.03,100.00,0.22,0.11,77.7
"6 Dec, 2021",1117408,810487,72.53,100.00,0.20,0.12,98.85
"5 Dec, 2021",1090852,805886,73.88,100.00,0.21,0.13,103.21
"4 Dec, 2021",1376585,985080,71.56,100.00,0.22,0.12,114.06
"3 Dec, 2021",1104825,779242,70.53,100.00,0.18,0.14,105.37
"2 Dec, 2021",806181,503046,62.40,100.00,0.15,0.11,54.95
"1 Dec, 2021",752634,468038,62.19,100.00,0.14,0.12,55.71
"30 Nov, 2021",927701,603008,65.00,100.00,0.12,0.13,79.69
"29 Nov, 2021",1187130,870063,73.29,100.00,0.09,0.14,125.73
"28 Nov, 2021",1203672,907111,75.36,100.00,0.20,0.16,147.04
"27 Nov, 2021",1320565,985462,74.62,100.00,0.22,0.16,159.6
"26 Nov, 2021",1328005,984286,74.12,100.00,0.21,0.17,166.33
"25 Nov, 2021",1295589,972710,75.08,100.00,0.22,0.15,147.43
"24 Nov, 2021",1591080,1176072,73.92,100.00,0.21,0.13,158.6
"23 Nov, 2021",1512139,1108583,73.31,100.00,0.20,0.14,153.28
"22 Nov, 2021",1772856,1289441,72.73,100.00,0.21,0.13,163.55
"21 Nov, 2021",1364860,979061,71.73,100.00,0.20,0.13,130.72
"20 Nov, 2021",1167242,843364,72.25,100.00,0.20,0.13,109.13
"19 Nov, 2021",1028091,739361,71.92,100.00,0.18,0.14,101.03
"18 Nov, 2021",1057522,744372,70.39,100.00,0.19,0.14,101.67
"17 Nov, 2021",925444,622081,67.22,100.00,0.19,0.15,93.33
"
","
"
"--Ad Types--","--Ad Units--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Richmedia,CM_serialgossip.com_Arts_and_Entertainment_BTF_Fixed_DBRS,61488,248,0.40,100.00,0.00,0.04,0.01
Richmedia,CM_Serialgossip.com_Arts_and_entertainment_300x600,78139,45063,57.67,100.00,0.00,0.10,4.46
Richmedia,CM_serialgossip.com_Arts_and_Entertainment_BTF_responsive_EOC,171787,110724,64.45,100.00,0.00,0.11,12.44
Richmedia,CM_serialgossip.com_Arts_and_Entertainment_BTF_multisize_DBRS,156161,141565,90.65,100.00,0.00,0.12,17.16
Richmedia,CM_serialgossip.com_Arts_and_Entertainment_BTF_responsive_INT,15048350,2316487,15.39,100.00,0.00,0.40,919.40
Richmedia,CM_serialgossip.com_Arts_and_Entertainment_BTF_Fixed_300x250,22284121,14562814,65.35,100.00,0.00,0.08,"1,184.90"
Richmedia,CM_serialgossip.com_Arts_and_Entertainment_BTF_multisize_MBRS,47333075,44017389,92.99,100.00,0.00,0.11,"4,755.01"
"
","
"
"
","
"
